"LGA","Crude_rate","IRSD","IRSAD","IER","IEO","log_IRSD","log_IER","log_IEO","log_Crude_rate","status"
"Melton",9.6132596,985,974,1031,962,4.95582705760126,4.70953020131233,6.86901445066571,2.26314335381631,"Actual"
"Mildura",31.509332,940,922,952,923,5.23110861685459,5.24702407216049,6.82762923450285,3.4502837559253,"Actual"
"Mitchell",17.323919,1000,968,1030,945,4.84418708645859,4.71849887129509,6.85118492749374,2.8520881477469,"Actual"
"Moira",33.281414,958,927,975,917,5.12989871492307,5.11799381241676,6.82110747225646,3.50499910303119,"Actual"
"Monash",19.252575,1042,1067,1016,1086,4.44265125649032,4.83628190695148,6.99025650049388,2.95764481802165,"Actual"
"Moonee Valley",20.782274,1041,1060,1006,1069,4.45434729625351,4.91265488573605,6.97447891102505,3.03410041183012,"Actual"
"Moorabool",19.116648,1017,987,1037,969,4.70048036579242,4.65396035015752,6.87626461189077,2.95055957844646,"Actual"
"Moreland",24.951865,1027,1049,969,1079,4.60517018598809,5.15329159449778,6.98378996525813,3.21694856890292,"Actual"
"Mornington Peninsula",19.780343,1038,1016,1038,1011,4.48863636973214,4.64439089914137,6.91869521902047,2.98468866679245,"Actual"
"Mount Alexander",17.107387,1007,987,993,1027,4.78749174278205,5.00394630594546,6.93439720992856,2.83951035853262,"Actual"
"Moyne",17.20049,1029,998,1037,996,4.58496747867057,4.65396035015752,6.9037472575846,2.84493787178571,"Actual"
"Murrindindi",18.99666,1005,971,1012,970,4.80402104473326,4.86753445045558,6.87729607149743,2.94426317423998,"Actual"
"Nillumbik",11.839041,1093,1088,1111,1074,3.52636052461616,3.43398720448515,6.97914527506881,2.47140262955383,"Actual"
"Northern Grampians",30.715528,951,921,959,916,5.17048399503815,5.20948615284142,6.82001636467413,3.42476832476604,"Actual"
"Port Phillip",11.723865,1061,1106,954,1144,4.18965474202643,5.23644196282995,7.04228617193974,2.461626507941,"Actual"
"Pyrenees",22.503666,959,929,982,934,5.12396397940326,5.07517381523383,6.83947643822884,3.11367822927151,"Actual"
"Queenscliffe",24.645718,1082,1067,1029,1089,3.80666248977032,4.72738781871234,6.99301512293296,3.20460317343148,"Actual"
"South Gippsland",36.44933,1003,966,1010,966,4.82028156560504,4.88280192258637,6.87316383421252,3.59592307694142,"Actual"
"Southern Grampians",40.203294,994,962,986,964,4.89034912822175,5.04985600724954,6.87109129461055,3.69394893256656,"Actual"
"Stonnington",11.829441,1084,1130,992,1158,3.76120011569356,5.01063529409626,7.05444965813294,2.4705914241266,"Actual"
"Strathbogie",34.672337,982,954,985,965,4.97673374242057,5.05624580534831,6.87212810133899,3.54594216440528,"Actual"
"Surf Coast",15.211356,1086,1076,1076,1074,3.71357206670431,4.18965474202643,6.97914527506881,2.72204225417118,"Actual"
"Swan Hill",18.772697,941,927,952,921,5.2257466737132,5.24702407216049,6.82546003625531,2.93240352701062,"Actual"
"Towong",45.769715,1001,968,1007,970,4.83628190695148,4.90527477843843,6.87729607149743,3.82362262786006,"Actual"
"Wangaratta",32.018966,988,957,988,959,4.93447393313069,5.03695260241363,6.86589107488344,3.46632841472986,"Actual"
"Warrnambool",22.507641,995,961,982,957,4.88280192258637,5.07517381523383,6.86380339145295,3.11385485155935,"Actual"
"Wellington",34.07066,973,943,985,937,5.03695260241363,5.05624580534831,6.84268328223842,3.52843660336666,"Actual"
"West Wimmera",18.862997,991,971,1003,987,4.91265488573605,4.93447393313069,6.89467003943348,2.93720217232207,"Actual"
"Whitehorse",15.700378,1043,1067,1011,1093,4.43081679884331,4.87519732320115,6.99668148817654,2.75368478849755,"Actual"
"Whittlesea",17.363244,990,981,1018,980,4.91998092582813,4.82028156560504,6.88755257166462,2.85435555813431,"Actual"
"Wodonga",16.657862,973,947,981,948,5.03695260241363,5.08140436498446,6.85435450225502,2.81288229717099,"Actual"
"Wyndham",9.7581442,1006,1004,1026,1007,4.79579054559674,4.75359019110636,6.91473089271856,2.27810223890282,"Actual"
"Yarra",11.82164,1046,1108,942,1149,4.39444915467244,5.29831736654804,7.04664727784876,2.4699317502383,"Actual"
"Yarra Ranges",11.595535,1041,1014,1054,1001,4.45434729625351,4.47733681447821,6.90875477931522,2.45062011022089,"Actual"
"Yarriambiack",33.343499,946,923,958,945,5.19849703126583,5.21493575760899,6.85118492749374,3.50686282082608,"Actual"
"Unincorporated Vic",21.1125951594013,1012,1022,917,1008,4.74493212836325,5.41610040220442,6.91572344863131,3.04986978937782,"Estimated"
"Aurukun",96.49405,501,700,546,833,6.4393503711001,6.39024066706535,6.72503364216684,4.56948134841292,"Actual"
"Balonne",45.57262,943,929,942,929,5.21493575760899,5.29831736654804,6.83410873881384,3.8193070975884,"Actual"
"Banana",21.920512,992,954,998,909,4.90527477843843,4.969813299576,6.81234509417748,3.08742281947126,"Actual"
"Barcaldine",41.78855,1002,971,989,956,4.8283137373023,5.03043792139244,6.8627579130514,3.73262237856186,"Actual"
"Blackall Tambo",41.78855,961,930,976,903,5.11198778835654,5.11198778835654,6.80572255341699,3.73262237856186,"Actual"
"Brisbane",14.373993,1045,1061,1012,1076,4.40671924726425,4.86753445045558,6.98100574072173,2.66542053205573,"Actual"
